Date,Close,forecast
2024-01-02,5675.0,
2024-01-03,5600.0,
2024-01-04,5700.0,
2024-01-05,5750.0,
2024-01-08,5625.0,
2024-01-09,5700.0,
2024-01-10,5700.0,
2024-01-11,5750.0,
2024-01-12,5850.0,
2024-01-15,5825.0,
2024-01-16,5825.0,
2024-01-17,5775.0,
2024-01-18,5750.0,
2024-01-19,5800.0,
2024-01-22,5775.0,
2024-01-23,5700.0,
2024-01-24,5650.0,
2024-01-25,5525.0,
2024-01-26,5425.0,
2024-01-29,5575.0,
2024-01-30,5625.0,
2024-01-31,5700.0,
2024-02-01,5750.0,
2024-02-02,5850.0,
2024-02-05,5775.0,
2024-02-06,5825.0,
2024-02-07,5850.0,
2024-02-12,6025.0,
2024-02-13,6000.0,
2024-02-15,6125.0,
2024-02-16,6150.0,
2024-02-19,6100.0,
2024-02-20,6300.0,
2024-02-21,6300.0,
2024-02-22,6250.0,
2024-02-23,6125.0,
2024-02-26,6175.0,
2024-02-27,6125.0,
2024-02-28,6225.0,
2024-02-29,6125.0,
2024-03-01,6125.0,6119.130218945179
2024-03-02,,6128.551501569035
2024-03-03,,6123.7774726544785
2024-03-04,,6121.199375957373
2024-03-05,,6127.451355522464
2024-03-06,,6123.262368257125
